,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1979,1979,calm,2n6FX3Jcg4b4Leoz0GOqBF,Wherever You Will Go,The Calling,0.555,0.717,2,-5.114,1,0.0269,0.0414,0.0,0.116,0.374,112.03,208507,4
1980,1980,calm,4l0Mvzj72xxOpRrp6h8nHi,Lose You To Love Me,Selena Gomez,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819,206459,4
1981,1981,calm,2pxpJ9lmbqPEIk3M7ezLR0,Wonderful Life,Hurts,0.696,0.836,11,-7.231,0,0.0584,0.167,0.00155,0.184,0.414,120.022,254133,4
1982,1982,calm,0kxiRfn9KcOSTccXgsXS8A,You (Piano & Strings Sessions Version) [Instrumental],Future Of Forestry,0.382,0.29,2,-8.67,1,0.0333,0.289,0.846,0.126,0.17,171.833,265991,4
1983,1983,calm,5mpCx2nbXtAbnzd342Mwrb,I Do,Aloe Blacc,0.567,0.383,0,-7.126,1,0.0399,0.75,0.0,0.196,0.32,73.156,217349,4
1984,1984,calm,5fa6CrQwHwthEoCvTtd5Ig,Let Her Go,Jasmine Thompson,0.445,0.407,3,-6.883,1,0.0349,0.95,0.0,0.227,0.231,131.479,172149,3
1985,1985,calm,0Nf53RDPZEjFrQE4B5n6Vf,Yellow Flicker Beat,Lorde,0.585,0.61,1,-8.388,1,0.0353,0.103,0.000314,0.113,0.0597,94.969,232507,4
1986,1986,calm,1FuB3SlcjgU3KAyDwUwB6r,Du bist anders,AnnenMayKantereit,0.692,0.542,10,-7.681,1,0.0266,0.212,3.56e-06,0.0942,0.367,105.012,229018,4
1987,1987,calm,3l72nWivgNKYMFC7OwMEO0,Treppenhaus,LEA,0.623,0.716,6,-6.057,1,0.136,0.0702,1.8e-06,0.0838,0.229,161.724,189667,4
1988,1988,calm,1sWiWerHnR6J4LNdFxdywM,Love,Lana Del Rey,0.527,0.366,10,-10.943,1,0.0277,0.487,0.0023,0.11,0.234,98.994,272743,4
1989,1989,calm,3BcvXb4NPs04qzMIdpFbjw,Wunderkerzenmenschen,LEA,0.509,0.706,1,-5.456,0,0.0445,0.0186,4.31e-05,0.466,0.396,139.911,216400,4
1990,1990,calm,0dDdc2ugBXcZkO00xvR6wZ,Rainbow Connection,Sleeping At Last,0.513,0.183,2,-10.249,1,0.0407,0.966,0.0,0.327,0.266,107.18,192571,3
1991,1991,calm,11t01yRwyNykHUm7nthRH9,I´ll be yours,Sarah Kreuz,0.651,0.501,1,-6.016,1,0.0292,0.498,0.0,0.117,0.345,131.933,195600,4
1992,1992,calm,0gsl92EMIScPGV1AU35nuD,All By Myself,Céline Dion,0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,312307,4
1993,1993,calm,0YywjDvFudcaHG74NuWISy,People Help the People,Birdy,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254,256236,3
1994,1994,calm,6Far9mixuLOSu0Y5ectjfA,A Moment Like This,Kelly Clarkson,0.414,0.574,8,-3.884,1,0.0304,0.167,0.0,0.115,0.155,71.796,228267,4
1995,1995,calm,50Td3qilgs8BLtv8mHyT1t,Control,Zoe Wees,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880,4
1996,1996,calm,72IZ5jT2vMnXMYTzc4DgdC,Ayo Technology,Milow,0.776,0.657,11,-7.651,0,0.033,0.649,0.0,0.0979,0.772,128.058,215640,4
1997,1997,calm,48XfojJC87VKLlUotYV0Gm,The Truth Untold,Steve Aoki,0.57,0.422,1,-7.561,0,0.0422,0.372,0.0,0.127,0.169,113.007,242293,4
1998,1998,calm,7iRCrgTk9q3DirOfSNvxi6,Irgendwann,ela.,0.607,0.445,1,-8.107,1,0.0542,0.826,0.0,0.178,0.544,95.4,197907,4
1999,1999,calm,0OjgKMqkyn7pYSQniyUmVU,Still I Fly,Kurt Hugo Schneider,0.571,0.666,1,-6.724,1,0.0343,0.027,0.0,0.1,0.115,124.946,229500,4
2000,2000,calm,689SFUHNPcMKDROeIHAvSy,Mango Tree,Angus & Julia Stone,0.615,0.457,7,-13.326,1,0.0285,0.851,0.183,0.0933,0.381,108.261,223467,4
2001,2001,calm,2bKVbvI4F0FktcUXrQ9vIe,We Came And Left,Cedric Vermue,0.539,0.171,5,-19.416,0,0.0305,0.93,0.92,0.114,0.178,157.655,341246,4
2002,2002,calm,1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,240133,4
2003,2003,calm,6fOPuabPdAJ0HgqJFcDGb1,Apologize,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4
2004,2004,calm,4n41lg3dl0abbHovuv5bAU,"Read All About It, Pt. III",Emeli Sandé,0.63,0.44,2,-7.186,1,0.0249,0.822,3.87e-06,0.0926,0.343,98.082,283707,4
